Phocoena_phocoena_(NRM_855196),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.14,2.66,2.27,2.7,0.56,106,1.98,0.9,0,0,NA,1.72,1,78
T2,1.6,2.63,2.13,3.49,1.2,110,1.93,1.15,0,0,NA,1.72,1.12,86
T3,2.05,2.57,2.07,3.84,1.39,107,2.03,1.24,0.48,0.58,2.4,1.91,1.35,89
T4,2.3,2.58,2.05,3.69,1.7,103,1.96,1.27,0.94,0.62,2.3,1.73,1.55,90
T5,2.45,2.63,2.13,4.91,2.13,100,1.75,1.25,0.79,0.72,2.5,1.76,1.58,94
T6,2.54,2.54,2.33,3.77,2.2,105,1.72,1.5,0.83,0.68,2.3,1.75,1.55,99
T7,2.56,2.56,2.39,3.89,2.17,105,1.6,1.53,0.92,0.64,2.35,1.93,1.61,97
T8,2.65,2.65,2.57,4.28,2.22,105,1.74,1.4,1.31,0.67,2.3,2.17,1.84,96
T9,2.71,2.84,2.67,4.62,2.19,106,1.41,1.43,1.33,0.61,2,1.9,2.02,99
T10,2.72,3,2.68,4.82,2.42,109,1.51,1.31,1.53,0.6,1.95,2.21,1.75,102
T11,2.67,2.87,2.7,5.08,2.28,110,1.62,1.38,1.27,0.79,1.8,2.78,1.67,100
T12,2.64,2.97,2.76,5.29,2.01,110,1.77,1.65,0.7,0.75,1.8,4.67,2.21,98
T13,2.61,3.1,2.78,5.44,1.92,114,1.57,1.57,0.61,0.77,1.9,6.6,2.08,97
L1,2.57,3.09,2.74,5.58,2.02,113,1.53,1.6,0.59,0.77,1.9,6.76,1.88,95
L2,2.54,3.16,2.86,5.49,1.98,111,1.58,1.64,0.57,0.74,1.9,6.82,1.77,89
L3,2.54,3.16,2.93,5.41,1.91,107,1.54,1.61,0.52,0.72,2,6.69,1.84,86
L4,2.54,3.22,3,5.08,1.83,105,1.4,1.79,0.52,0.53,2.25,6.63,1.82,82
L5,2.52,3.27,3.02,4.95,1.91,100,1.47,1.56,NA,NA,NA,6.47,1.85,82
L6,2.51,3.35,3.1,4.84,1.83,92,1.55,1.65,0.6,0.8,1.9,6.64,1.95,76
L7,2.59,3.4,3.03,4.85,1.8,82,1.52,1.65,0.57,0.76,2.1,6.61,1.91,72
L8,2.59,3.41,3.06,4.83,1.73,77,1.72,1.66,0.49,0.8,2.15,6.23,1.82,70
L9,2.6,3.43,3.13,5.13,1.69,74,1.64,1.6,0.55,0.89,2.1,5.84,1.82,62
L10,2.6,3.4,3.12,5.4,1.82,69,1.5,1.57,0.65,0.79,2.1,5.5,1.78,60
L11,2.57,3.46,3.2,5.49,1.65,65,1.67,1.61,0.7,0.69,2.3,5.55,1.7,59
L12,2.58,3.49,3.32,5.33,1.58,62,1.55,1.57,0.56,0.7,2.4,5.18,1.68,55
L13,2.53,3.54,3.27,5.21,1.58,56,1.6,1.59,0.54,0.82,2.4,5.06,1.68,60
L14,2.5,3.52,3.15,5.38,1.64,53,1.47,1.61,0.49,0.63,2.6,4.59,1.57,68
Ca1,2.52,3.48,3.37,5.04,1.7,49,1.59,1.62,0.43,0.42,2.6,4.64,1.66,60
Ca2,2.45,3.56,3.54,4.8,1.76,50,1.49,1.65,0.57,0.51,2.35,4.36,1.51,55
Ca3,2.36,3.51,3.29,NA,NA,NA,1.27,1.57,0.45,0.42,2.2,3.86,1.74,54
Ca4,2.28,3.3,3.46,4.33,1.9,59,1.07,1.4,0.44,0.36,1.85,3.17,1.71,60
Ca5,2.2,3.36,3.33,4.11,1.71,68,1,1.32,0.7,0.38,1.8,2.82,1.53,65
Ca6,2.18,3.51,3.43,3.43,1.74,74,0.88,1.23,0.48,0.62,1.3,2.52,1.44,70
Ca7,2.05,3.5,3.8,2.34,1.66,76,0.57,1.35,0.63,0.51,0.95,1.59,1.25,74
Ca8,1.96,3.44,3.54,1.62,1.43,85,0.54,1.27,0.35,0.37,0.8,1.06,1.04,74
Ca9,1.92,1.3,3.25,1.92,1.26,93,0.42,1.25,0.45,0.4,0.7,0.66,0.92,72
Ca10,1.88,3.24,3.24,1.27,1.22,99,0.34,1.27,0.59,0.58,0.7,0.43,0.75,72
Ca11,1.87,3.11,3.13,1.07,1.1,102,0.4,1.35,0.48,0.52,0.45,0.37,0.66,78
Ca12,1.88,3.02,3.24,0.88,1.2,104,0.25,1.32,0.54,0.39,0.35,0,0,NA
Ca13,1.84,2.91,3.06,0.75,1.28,105,0.27,1.35,0.54,0.4,0.25,0,0,NA
Ca14,1.79,2.86,3.02,0.62,1.36,100,0.26,1.23,0.56,0.34,0.2,0,0,NA
Ca15,1.73,2.81,2.96,0.28,1.22,93,0.26,1.15,0.52,0.29,0.15,0,0,NA
Ca16,1.59,2.68,2.97,0,0,NA,0.27,0.82,0,0,NA,0,0,NA
Ca17,1.37,2.62,2.74,0,0,NA,0,0,0,0,NA,0,0,NA
Ca18,1.18,2.53,2.54,0,0,NA,0,0,0,0,NA,0,0,NA
Ca19,0.99,2.48,2.22,0,0,NA,0,0,0,0,NA,0,0,NA
