Phocoena_phocoena_(NRM_875045),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,0.98,2.36,2.43,3.1,1.12,104,2.17,1.02,0,0,NA,1.44,0.65,85
T2,1.43,2.43,2.3,4.03,1.19,106,2.12,1.18,0,0,NA,1.76,1.06,75
T3,1.9,2.31,2.17,4.41,1.77,107,2.17,1.13,0.61,0.58,2.35,1.7,1.28,80
T4,2.15,2.29,2.24,4.16,1.64,105,2.28,1.09,0.8,0.58,2.7,1.84,1.45,75
T5,2.31,2.4,2.33,4.11,1.88,106,2.17,1.12,0.79,0.6,2.55,1.67,1.53,77
T6,2.44,2.4,2.42,4.43,2.05,108,2.08,1.3,1.34,0.64,2.6,1.68,1.64,90
T7,2.5,2.37,2.48,NA,2.16,112,2.07,1.45,1.07,0.7,2.5,1.85,1.7,102
T8,2.58,2.43,2.55,4.64,2.05,109,2.14,1.37,1.38,0.57,2.3,2.04,1.79,110
T9,2.64,2.65,2.62,5.16,1.9,111,1.82,1.41,1.27,0.62,2.35,2.07,1.79,115
T10,2.69,2.75,2.64,5.23,2.11,107,1.83,1.35,1.55,0.61,2.35,2.15,1.5,110
T11,2.68,2.99,2.7,5.61,2.03,102,1.79,1.42,1.64,0.71,2.6,2.73,1.89,106
T12,2.65,2.94,2.75,5.78,1.86,100,1.91,1.43,1.62,0.69,2.9,4.09,1.81,104
T13,2.67,2.98,2.74,5.93,1.96,96,1.93,1.53,0.58,0.82,3,6.66,1.63,110
L1,2.54,3.03,2.76,6.15,1.91,103,1.94,1.6,1.48,0.82,2.9,7.28,1.68,99
L2,2.62,3.09,2.79,6.38,1.99,102,1.78,1.61,1.37,0.61,2.85,8.1,1.64,90
L3,2.5,3.11,2.81,6,1.99,100,1.78,1.65,1.14,0.88,2.8,8.13,1.54,87
L4,2.55,3.17,2.91,6.2,1.76,91,1.79,1.58,1.27,0.93,2.7,7.91,1.62,86
L5,2.51,3.3,3.02,6.48,1.8,88,1.83,1.58,0.81,0.6,2.65,7.55,1.65,84
L6,2.53,3.16,3.06,6.5,1.96,84,1.7,1.41,1.1,0.88,2.7,7.5,1.7,86
L7,2.54,3.17,3.12,6.3,1.83,80,1.84,1.49,1.21,0.93,2.65,7.52,1.69,78
L8,2.58,3.33,3.13,6.31,1.66,78,1.92,1.5,1.15,0.88,2.65,7.41,1.61,77
L9,2.57,3.42,3.13,5.99,1.71,77,2.09,1.38,1,0.76,2.9,7.03,1.48,75
L10,2.62,3.47,3.21,5.82,1.66,73,2.14,1.46,0.8,0.64,2.85,6.78,1.32,70
L11,2.62,3.46,3.24,6.03,1.77,72,1.96,1.31,0.76,0.7,2.9,6.51,1.48,66
L12,2.61,3.51,3.3,5.8,1.66,69,2.1,1.31,0.66,0.63,3,6.2,1.38,61
L13,2.55,3.56,3.35,5.67,1.66,68,1.81,1.39,0.45,0.43,3.1,5.9,1.45,58
L14,2.61,3.62,3.43,5.41,1.63,66,1.81,1.41,0.6,0.52,2.95,5.46,1.39,60
Ca1,2.57,3.55,3.42,5.37,1.79,68,1.82,1.53,0.53,0.47,2.8,5.21,1.39,55
Ca2,2.52,3.65,3.55,4.99,1.8,67,1.69,1.49,0.69,0.45,2.95,5.02,1.32,53
Ca3,2.46,3.59,3.43,4.75,1.68,70,1.37,1.59,0.63,0.51,2.8,4.57,1.49,55
Ca4,2.4,3.64,3.44,4.55,0.72,72,1.22,1.54,0.59,0.51,2.5,3.9,1.66,58
Ca5,2.35,3.62,3.51,4.23,1.78,75,1.08,1.37,0.41,0.35,2.2,3.48,1.48,61
Ca6,2.25,3.57,3.47,3.87,1.8,82,0.89,1.33,0.41,0.45,1.95,2.61,1.28,65
Ca7,2.17,3.46,3.54,3.22,1.82,91,0.68,1.29,0.42,0.33,1.7,2.18,1.03,65
Ca8,2.11,3.58,3.6,2.59,1.76,97,0.6,1.23,0.41,0.45,1.25,1.29,1.06,63
Ca9,2.02,3.32,3.47,2.02,1.68,95,0.59,1.3,0.24,0.23,0.75,0.61,1.03,65
Ca10,1.96,3.24,3.38,1.57,1.55,100,0.44,1.34,0,0,NA,0.34,0.66,68
Ca11,1.95,3.14,3.56,1.24,1.36,102,0.35,1.29,0,0,NA,0,0,NA
Ca12,1.92,2.96,3.52,1.05,1.36,102,0.3,1.25,0,0,NA,0,0,NA
Ca13,1.89,2.86,3.48,0.61,1.41,105,0.26,1.28,0.24,0.14,0.2,0,0,NA
Ca14,1.8,2.72,3.46,0.6,1.31,104,0.25,1.24,0.22,0.22,0.1,0,0,NA
Ca15,1.75,2.6,3.19,0.19,1.07,92,0.25,1.12,0.14,0.15,0.1,0,0,NA
Ca16,1.67,2.48,3.09,0,0,NA,0.21,0.83,0,0,NA,0,0,NA
Ca17,1.58,2.44,2.72,0,0,NA,0,0,0,0,NA,0,0,NA
Ca18,1.38,2.41,2.53,0,0,NA,0,0,0,0,NA,0,0,NA
Ca19,1.09,2.32,2.38,0,0,NA,0,0,0,0,NA,0,0,NA
