Phocoena_phocoena_(USNM_571709),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.25,2.71,2.29,3.25,0.91,108,2.15,1.01,0,0,NA,1.47,0.82,76
T2,1.69,2.45,2.2,3.72,1.29,111,2.34,1.2,0,0,NA,1.38,0.96,75
T3,2.13,2.36,2.18,3.92,1.71,111,2.34,1.49,0.33,0.35,2.3,1.25,1.34,79
T4,2.22,2.35,2.27,3.98,1.97,108,2.23,1.57,0.4,0.36,2.3,1.17,1.67,88
T5,2.37,2.39,2.36,3.96,2,106,2.24,1.36,0.65,0.43,2.3,1.02,1.49,90
T6,2.47,2.41,2.42,4.21,2.15,103,2.23,1.51,0.9,0.62,2.1,1.15,1.51,91
T7,2.46,2.45,2.42,4.49,1.93,102,2.27,1.63,0.92,0.55,2,1.45,1.71,96
T8,2.5,2.57,2.59,4.64,1.94,100,2.08,1.45,1.35,0.58,2.1,1.54,1.78,99
T9,2.57,2.86,2.6,4.97,2.19,101,1.99,1.66,1.58,0.66,2.1,1.99,1.76,101
T10,2.67,2.93,2.62,5.57,2.1,106,2.22,1.71,1.82,0.74,2.25,2.48,2.02,102
T11,2.63,2.88,2.72,6.01,2.07,105,1.98,1.38,2.16,0.76,2.8,3.9,2.08,108
T12,2.61,2.95,2.75,6.22,2.41,107,1.9,1.31,2.1,0.79,2.9,6.07,1.99,107
T13,2.65,2.94,2.75,6.4,2.17,112,2.05,1.45,1.65,0.81,3,7.09,1.85,97
L1,2.57,3.05,2.77,6.53,1.96,108,1.94,1.45,1.84,0.69,3.05,7.66,1.85,93
L2,2.56,3.18,2.77,6.67,2.01,106,1.88,1.55,1.61,0.77,3,7.61,1.92,86
L3,2.53,3.27,2.87,6.6,1.91,104,1.95,1.53,1.06,0.73,2.7,7.53,1.93,81
L4,2.56,3.24,2.95,6.47,1.72,102,1.96,1.51,0.81,0.71,2.4,7.35,1.95,77
L5,2.59,3.27,3,6.47,1.63,95,1.99,1.58,0.67,0.68,2.35,7.22,1.93,77
L6,2.59,3.15,3.04,6.59,1.72,87,2.02,1.58,0.64,0.6,2.3,7.16,1.97,75
L7,2.65,3.3,3.12,6.73,1.64,82,1.9,1.51,0.56,0.73,2.35,6.97,1.98,75
L8,2.68,3.39,3.26,6.45,1.44,77,2.02,1.51,0.36,0.7,2.4,6.84,1.94,72
L9,2.63,3.44,3.2,6.33,1.46,70,2.03,1.51,0.49,0.6,2.3,6.55,1.74,74
L10,2.6,3.46,3.23,6.55,1.34,67,2.13,1.42,0.42,0.56,2.4,6.33,1.75,72
L11,2.62,3.5,3.32,6.77,1.27,64,1.86,1.41,0.37,0.53,2.35,6.16,1.64,70
L12,2.67,3.58,3.34,6.66,1.29,63,1.93,1.4,0.38,0.36,2.4,5.77,1.58,66
L13,2.68,3.6,3.42,6.62,1.42,59,1.88,1.46,0.3,0.36,2.5,5.19,1.63,61
Ca1,2.68,3.54,3.54,6.49,1.46,58,1.66,1.47,0.54,0.34,2.7,4.67,1.68,59
Ca2,2.64,3.54,3.5,6.19,1.48,55,1.48,1.52,0.54,0.43,2.55,4.57,1.8,57
Ca3,2.56,3.51,3.53,5.84,1.59,55,1.39,1.54,0.57,0.4,2.45,4.38,2.29,60
Ca4,2.55,3.49,3.51,5.82,1.91,59,1.15,1.65,0.6,0.46,2.3,3.96,2.27,65
Ca5,2.55,3.46,3.52,5.51,2.24,59,0.97,1.74,0.61,0.45,2.1,3.67,2.63,68
Ca6,2.47,3.49,3.5,5.12,2.11,62,0.81,1.59,0.67,0.36,2.25,3.25,2.26,69
Ca7,2.37,3.43,3.58,4.63,1.97,71,0.7,1.38,0.53,0.29,1.95,2.86,1.56,70
Ca8,2.28,3.49,3.62,4.11,2.23,74,0.49,1.31,0.43,0.24,1.7,2.18,1.22,67
Ca9,2.22,3.49,3.66,3.31,2.1,77,0.47,1.28,0.4,0.34,1.4,1.59,1.06,66
Ca10,2.15,3.46,3.71,2.73,2.07,87,0.43,1.35,0.28,0.29,1.15,0.92,0.84,62
Ca11,2.14,3.45,3.66,NA,1.85,NA,0.37,1.36,0.41,0.33,0.75,0.38,0.85,63
Ca12,2.1,3.29,3.64,1.62,1.8,97,0.37,1.41,0.36,0.32,0.6,0.35,0.61,68
Ca13,2.04,3.13,3.55,1.35,1.68,99,0.34,1.52,0.37,0.28,0.35,0,0,NA
Ca14,2.05,2.99,3.56,0.97,1.83,104,0.24,1.5,0.29,0.3,0.35,0,0,NA
Ca15,1.99,2.86,3.4,0.72,1.47,107,0.24,1.34,0.34,0.33,0.3,0,0,NA
Ca16,1.94,2.67,3.25,0.49,1.44,109,0.28,1.28,0.31,0.25,0.25,0,0,NA
Ca17,1.84,2.63,3.06,0,0,NA,0.19,1.07,0.33,0.27,0.15,0,0,NA
Ca18,1.73,2.51,2.93,0,0,NA,0,0,0,0,NA,0,0,NA
Ca19,1.53,2.56,2.74,0,0,NA,0,0,0,0,NA,0,0,NA
Ca20,1.31,2.54,2.53,0,0,NA,0,0,0,0,NA,0,0,NA
