Grampus_griseus_(USNM_504328),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.6,5.51,4.47,0.94,1.14,109,3.65,1.23,0,0,NA,2.64,1.17,79
T2,2.29,5.17,4.31,1.86,2.18,115,3.21,1.64,0,0,NA,2.96,1.66,80
T3,2.9,5.11,4.11,3.81,2.01,126,3.43,1.84,0,0,NA,3.19,2.12,85
T4,3.28,4.98,4.07,4.96,1.99,133,3.45,1.36,0.55,0.55,3.15,2.97,2.38,92
T5,3.75,5.01,4.11,5.6,2.27,131,3.56,1.47,0.61,0.64,3.5,3.84,2.42,91
T6,3.97,4.94,4.28,6.29,2.59,127,3.46,1.83,1.27,0.63,3.7,4.36,2.48,90
T7,4.19,5,4.5,7.31,2.86,122,3.75,2.19,1.41,0.8,3.9,5.08,2.27,90
T8,4.43,5.02,4.55,8.48,3.15,120,3.55,2.53,1.64,0.91,4.3,5.71,2.34,94
T9,4.53,4.95,4.47,9.27,2.97,119,3.5,2.45,1.61,1.12,4.9,6.19,1.86,99
T10,4.46,5.23,4.39,9.85,3.22,117,3.58,2.77,1.21,0.95,5,7.13,2,104
T11,4.35,5.12,4.4,10.03,3.13,119,3.56,2.53,0.96,1.06,5.05,8.27,2.46,103
T12,4.2,5.14,4.49,10.89,3.08,116,3.57,2.28,0.99,0.98,4.9,10.59,2.47,105
T13,4.12,5.01,4.56,11.54,2.86,113,3.59,2.21,0.72,0.88,4.7,11.24,2.35,94
L1,4.14,5.08,4.58,12.21,2.67,111,3.41,2.03,0.51,0.71,4.5,10.59,2.11,88
L2,3.92,5.14,4.8,12.28,2.7,106,3.26,2,0.39,0.61,4.8,10.65,1.98,84
L3,3.85,5.25,4.68,12.4,2.49,102,3.4,1.77,0.33,0.71,4.9,10.59,2.12,83
L4,3.82,5.18,4.84,12.41,2.23,97,3.52,1.67,0.31,0.76,4.75,10.27,2.1,84
L5,3.84,5.31,4.88,12.71,2.2,95,3.16,1.7,0.5,0.47,4.85,9.87,2.08,84
L6,3.65,5.27,4.83,12.54,2.17,93,3.22,1.68,0.38,0.53,4.9,9.57,1.93,85
L7,3.63,5.28,4.95,12.48,1.88,90,3.18,1.53,0.34,0.58,4.9,9.07,1.91,86
L8,3.56,5.46,5.03,12.42,1.91,86,3.18,1.54,0.39,0.52,4.85,NA,1.88,87
L9,3.55,5.64,4.98,12.42,1.95,83,3.1,1.54,0,0,NA,8.46,1.91,88
L10,3.68,5.65,4.88,1.12,2.01,82,3.21,1.64,0,0,NA,8.46,1.99,90
L11,3.51,5.74,5.03,11.79,2.14,84,3.15,1.66,0,0,NA,8.27,1.81,94
L12,3.6,5.79,5.07,11.15,2.11,85,3.08,1.74,0,0,NA,8.16,1.82,93
L13,3.55,5.87,5.08,10.74,2.03,85,3.14,1.64,0,0,NA,7.64,1.79,91
L14,3.54,5.85,5.24,10.16,2.25,84,2.94,1.69,0,0,NA,7.52,1.67,93
L15,3.66,5.78,5.24,9.2,2.36,84,3.05,1.64,0,0,NA,6.95,1.69,92
L16,3.67,5.89,5.31,8.62,2.41,84,2.84,1.81,0,0,NA,6.39,1.79,93
L17,3.68,5.76,5.4,8.27,2.55,87,2.72,1.85,0,0,NA,5.9,1.67,90
