Phocoena_dioptrica_(USNM_571485),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.06,3.3,2.58,1.81,0.83,102,2.88,0.73,0,0,NA,1.68,0.76,75
T2,1.44,3.21,2.51,3,1.07,116,3,1.17,0,0,NA,1.82,0.9,78
T3,1.76,3.13,2.54,3.13,1.43,113,3.55,1.21,0,0,NA,2.06,1.22,76
T4,1.98,3.08,2.4,3.26,1.43,106,3.38,1.41,0,0,NA,2.14,1.65,74
T5,2.16,3.08,2.47,3.53,1.54,105,3.56,1.49,0.32,0.42,2.75,2.21,1.65,73
T6,2.25,3.13,2.53,3.68,1.7,106,3.59,1.38,1.04,0.62,2.8,2.22,1.72,76
T7,2.37,3.03,2.61,3.81,1.7,104,3.48,1.42,1.26,0.74,2.7,2,1.66,82
T8,2.37,3.08,2.71,3.92,1.81,107,3.37,1.41,1.39,0.79,2.6,1.95,1.43,90
T9,2.42,3.1,2.82,4.03,1.92,104,3.5,1.42,1.39,0.76,2.45,2.03,1.4,100
T10,2.42,3.26,2.88,4.18,1.86,102,3.33,1.4,1.81,1.18,2.35,1.43,1.37,104
T11,2.4,3.25,2.82,4.29,1.98,106,3.28,1.57,1.47,1.11,2.4,1.84,1.18,107
T12,2.44,3.31,3.02,4.23,1.91,102,2.97,1.57,1.44,1.12,2.4,2.25,1.32,114
T13,2.5,3.35,2.95,4.73,1.96,100,3.16,1.54,1.42,1.3,2.55,3.08,1.54,109
T14,2.56,3.37,3.08,NA,2.04,99,2.84,1.64,1.39,1.23,2.55,5.35,1.72,102
L1,2.5,3.35,3.17,4.24,2.18,96,2.69,1.59,1.14,0.95,2.6,5.52,1.75,93
L2,2.5,3.56,3.18,4.36,2.06,97,2.87,1.45,1.1,0.92,2.55,5.45,1.75,90
L3,2.52,3.51,3.14,4.61,2.2,96,2.74,1.49,0.84,0.82,2.45,5.45,1.68,86
L4,2.45,3.66,3.12,5.11,2.25,105,2.72,1.4,0.81,1.12,2.25,5.47,1.82,82
L5,2.5,3.75,3.22,5.05,2.02,101,2.56,1.37,0.88,0.92,2.3,5.36,1.76,80
L6,2.35,3.83,3.37,4.9,1.89,98,2.47,1.29,0.72,0.94,2.3,5.15,1.72,80
L7,2.57,3.74,3.27,4.98,1.9,103,2.48,1.38,0.72,1.04,2.3,5.3,1.67,78
L8,2.47,3.95,3.37,5.05,1.81,100,2.41,1.3,0.64,0.95,2.3,4.93,1.73,75
L9,2.45,3.92,3.45,4.9,2.04,100,2.3,1.31,0.59,0.73,2.5,4.55,1.57,74
L10,2.49,3.86,3.51,4.66,2.11,98,2.29,1.28,0.58,0.69,2.4,4.06,1.45,74
L11,2.49,3.93,3.67,4.67,2.24,97,2.22,1.16,0.55,0.59,2.45,3.76,1.36,70
L12,2.38,3.96,3.76,4.74,2.18,98,2.15,1.18,0.59,0.73,2.65,3.65,1.25,66
L13,2.52,3.93,3.73,4.54,2.07,102,1.97,1.19,0.67,0.72,2.7,3.37,1.32,63
L14,2.47,3.88,3.85,4.02,2,103,1.99,1.11,0.59,0.81,2.6,3.23,1.15,62
Ca1,2.52,3.87,3.9,3.82,1.86,103,1.82,1.12,0.6,0.85,2.65,3.1,1.21,60
Ca2,2.54,3.93,3.87,3.88,1.83,102,1.61,1.2,0.55,0.65,2.5,2.83,1.04,57
Ca3,2.49,3.94,3.81,3.9,1.71,98,1.56,1.17,0.56,0.69,2.45,2.83,1.12,60
Ca4,2.56,4.02,3.8,3.38,1.8,99,1.6,1.19,0.6,0.78,2.25,2.83,0.96,51
Ca5,2.6,3.94,3.61,3.16,1.95,101,1.49,1.23,0.44,0.66,2.05,2.48,1.04,46
Ca6,2.54,3.79,3.65,2.87,1.79,102,1.17,1.18,0.48,0.64,1.7,2.13,0.94,51
Ca7,2.35,3.65,3.53,2.57,1.72,100,1.01,1.2,0.47,0.49,1.4,1.52,0.77,56
Ca8,2.25,3.56,3.6,2.25,1.67,102,0.8,1.1,0.32,0.52,1.2,1.07,0.65,59
Ca9,2.27,3.45,3.6,1.8,1.61,98,0.61,1.09,0.17,0.29,1,0.59,0.59,68
Ca10,2.18,3.44,3.54,1.48,1.54,99,0.55,1.02,0.17,0.23,0.9,0.41,0.61,72
Ca11,2.13,3.34,3.38,1.34,1.44,96,0.6,1.28,0.19,0.23,0.65,0,0,NA
Ca12,2.02,3.26,3.44,1.89,1.18,101,0.53,1.3,0.29,0.28,0.5,0,0,NA
Ca13,1.98,3.15,3.33,0.68,1.06,108,0.4,1.34,0.22,0.27,0.35,0,0,NA
Ca14,1.96,3.09,3.34,0.35,1,98,0.3,1.13,0,0,NA,0,0,NA
Ca15,1.95,2.98,3.46,0,0,NA,0.28,0.89,0,0,NA,0,0,NA
Ca16,1.87,2.9,3.31,0,0,NA,0,0,0,0,NA,0,0,NA
Ca17,1.84,2.72,3.17,0,0,NA,0,0,0,0,NA,0,0,NA
Ca18,1.6,2.67,2.94,0,0,NA,0,0,0,0,NA,0,0,NA
Ca19,1.36,2.62,2.56,0,0,NA,0,0,0,0,NA,0,0,NA
