Phocoena_phocoena_(NRM_845002),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,0.97,2.8,2.39,2.77,0.89,115,2.07,0.91,0,0,NA,1.81,0.7,75
T2,1.34,2.45,2.25,3.75,1.21,110,1.95,1.3,0,0,NA,1.83,1.04,84
T3,1.86,2.32,2.09,4.14,1.44,110,1.99,1.32,0.48,0.45,1.95,1.97,1.23,85
T4,2.13,2.32,2.22,3.94,1.5,109,2.08,1.3,0.78,0.61,2,1.79,1.46,92
T5,2.26,2.34,2.35,3.68,1.8,105,2.03,1.38,1.21,0.62,2.2,1.87,1.56,94
T6,2.38,2.46,2.5,4.11,2.17,102,1.92,1.38,0.93,0.69,2.25,1.79,1.73,97
T7,2.38,2.27,2.47,4.25,2.14,98,2.12,1.52,1,0.63,1.85,2.03,1.79,95
T8,2.45,2.48,2.6,4.36,2.27,97,2.1,1.42,1.13,0.68,2.2,2.25,2.09,100
T9,2.42,2.69,2.61,4.8,2.38,99,2.07,1.59,1.31,0.5,2,2.55,1.53,103
T10,2.47,2.93,2.62,5.1,2.25,102,2.04,1.24,1.77,0.66,2.2,2.57,1.76,104
T11,2.4,2.97,2.64,5.15,2.13,105,1.96,1.4,NA,NA,NA,3.53,1.58,103
T12,2.46,2.93,2.69,5.26,2.16,104,1.85,1.26,1.7,0.59,2.6,5.33,1.55,100
T13,2.46,3.04,2.73,5.43,2.08,107,1.99,1.35,1.48,0.67,2.55,7.15,1.65,100
L1,2.42,3.1,2.78,5.49,2,107,1.97,1.37,0.8,0.56,2.1,7.64,1.58,93
L2,2.38,3.18,2.87,5.42,1.96,104,1.9,1.42,0.73,0.64,2.1,7.64,1.65,86
L3,2.43,3.12,3.02,5.38,1.91,103,1.79,1.43,0.68,0.51,2,7.81,1.74,80
L4,2.4,3.31,3.03,5.46,1.88,100,1.84,1.37,0.47,0.45,2.1,7.69,1.69,76
L5,2.39,3.34,3.16,5.58,1.95,94,1.83,1.37,0.45,0.48,2.05,7.73,1.73,77
L6,2.39,3.43,3.14,5.54,1.76,78,1.78,1.35,0.55,0.68,2.15,7.61,1.71,78
L7,2.41,3.4,3.15,5.56,1.76,75,1.77,1.45,0.59,0.66,2.1,7.2,1.53,76
L8,2.43,3.41,3.24,5.56,1.69,68,1.65,1.47,0.4,0.45,2.1,6.73,1.69,74
L9,2.45,3.47,3.34,5.57,1.8,65,1.71,1.36,0.41,0.4,2,6.07,1.52,68
L10,2.44,3.4,3.39,5.8,1.77,61,1.78,1.44,0.38,0.47,2,5.99,1.42,64
L11,2.38,3.57,3.33,6.12,1.68,63,1.68,1.35,0.43,0.43,2.05,5.84,1.37,62
L12,2.4,3.49,3.38,5.96,1.56,57,1.52,1.46,0.25,0.3,2.15,5.32,1.35,60
L13,2.39,3.56,3.45,5.71,1.5,55,1.52,1.52,NA,NA,NA,5.2,1.33,58
L14,2.29,3.57,3.64,5.93,1.47,53,1.42,1.5,0.2,0.42,2.15,4.41,1.33,55
Ca1,2.33,3.58,3.45,5.58,1.48,52,1.43,1.41,0.36,0.56,2.3,4.24,1.6,57
Ca2,2.3,3.58,3.5,5.49,1.42,53,1.12,1.46,0.33,0.42,2.45,3.97,1.52,60
Ca3,2.26,3.58,3.45,5.23,1.48,54,1.06,1.49,0.35,0.52,2.1,3.4,1.81,63
Ca4,2.17,3.5,3.46,5.12,1.44,60,0.96,1.44,0.29,0.43,2.2,3.37,1.88,64
Ca5,2.12,3.53,3.39,4.72,1.58,61,0.9,1.4,0.31,0.27,2,3.32,1.89,67
Ca6,2.02,3.45,3.36,4.49,1.6,65,0.79,1.28,0.31,0.42,1.85,2.83,1.53,64
Ca7,1.99,3.45,3.28,3.93,1.74,68,0.68,1.27,0.22,0.29,1.7,2.48,1.28,60
Ca8,1.92,3.38,3.51,3.25,1.69,73,0.61,1.23,0.22,0.25,1.3,1.87,1.13,60
Ca9,1.91,3.5,3.46,2.66,1.66,79,0.58,1.15,0.23,0.26,1.05,1.37,0.83,62
Ca10,1.89,3.25,3.27,2.17,1.54,84,0.52,1.17,0.32,0.25,0.7,0.53,0.81,68
Ca11,1.88,3.14,3.3,1.86,1.48,88,0.44,1.21,0.33,0.29,0.6,0.48,0.53,70
Ca12,1.89,3.04,3.31,1.64,1.44,94,0.36,1.31,0.34,0.33,0.35,0,0,NA
Ca13,1.91,2.88,3.27,1.37,1.47,94,0.33,1.26,0.25,0.26,0.3,0,0,NA
Ca14,1.82,2.69,3.13,0.92,1.3,95,0.38,1.16,0.27,0.27,0.2,0,0,NA
Ca15,1.75,2.69,3.21,0.65,1.27,98,0.34,1.12,0.27,0.25,0.2,0,0,NA
Ca16,1.71,2.54,2.98,0.25,1.05,94,0.38,1.02,0.26,0.25,0.15,0,0,NA
Ca17,1.07,2.49,2.86,0,0,NA,0.3,0.71,0,0,NA,0,0,NA
Ca18,1.4,2.45,2.61,0,0,NA,0.23,0.5,0,0,NA,0,0,NA
Ca19,1.22,2.45,2.47,0,0,NA,0,0,0,0,NA,0,0,NA
Ca20,1.03,2.39,2.37,0,0,NA,0,0,0,0,NA,0,0,NA
