Phocoena_phocoena_(NRM_20065226),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.03,2.43,2.26,2.62,0.61,108,1.81,0.93,0,0,NA,1.2,0.58,75
T2,1.49,2.27,2.15,3.42,0.96,110,1.95,1.25,0,0,NA,1.37,1.01,77
T3,1.88,2.14,2.16,3.64,1.23,112,1.95,1.14,0,0,NA,1.69,1.24,85
T4,2.2,2.11,2.19,3.5,1.51,107,1.95,1,0.35,0.59,1.7,1.63,1.41,95
T5,2.4,2.12,2.29,3.8,1.85,102,1.97,1.09,0.81,0.59,2.3,1.83,1.49,104
T6,2.43,2.14,2.51,3.57,2,107,1.87,1.24,1.09,0.54,2.2,1.75,1.57,103
T7,2.5,2.16,2.49,3.78,2.26,113,1.66,1.29,1,0.54,2,1.68,1.63,96
T8,2.55,2.27,2.55,4.04,1.93,102,1.62,1.35,1.19,0.72,2.35,1.86,1.68,99
T9,2.58,2.4,2.59,4.71,2.02,101,1.63,1.42,1.18,0.6,2,1.94,1.77,104
T10,2.58,2.51,2.55,4.92,2.09,109,1.59,1.36,1.49,0.64,2.4,2.46,1.6,100
T11,2.55,2.52,2.54,5.14,2.04,110,1.75,1.33,1.66,0.65,2.6,2.78,1.84,100
T12,2.58,2.71,2.5,5.11,1.94,112,1.76,1.42,1.7,0.75,3.1,3.99,1.97,97
T13,2.54,2.68,2.44,5.37,1.77,114,1.73,1.46,1.39,0.72,3.1,6.69,1.84,102
L1,2.46,2.76,2.56,5.06,1.84,111,1.79,1.6,1.31,0.75,2.95,7.27,1.68,91
L2,2.5,2.73,2.53,5.2,1.9,114,1.73,1.58,1,0.72,2.75,7.41,1.53,92
L3,2.47,2.8,2.62,5.35,1.71,108,1.54,1.5,0.78,0.73,2.4,7.25,1.45,87
L4,2.48,2.86,2.75,5.17,1.73,99,1.61,1.58,0.67,0.72,2.1,7.24,1.52,80
L5,2.45,2.93,2.82,5.42,1.61,95,1.64,1.46,0.71,0.8,2.3,7.23,1.67,81
L6,2.39,2.94,2.79,5.37,1.72,88,1.64,1.5,0.72,0.65,2.45,7.27,1.62,76
L7,2.47,3,2.76,5.06,1.64,80,1.7,1.46,0.66,0.72,2.5,7.18,1.67,72
L8,2.46,3.1,2.75,5.2,1.48,80,1.67,1.54,0.61,0.64,2.45,6.97,1.68,74
L9,2.52,3.2,2.84,5.2,1.43,75,1.8,1.47,NA,NA,NA,6.88,1.48,68
L10,2.43,3.18,2.96,5.08,1.61,76,1.61,1.44,0.49,0.74,2.5,6.64,1.5,66
L11,2.43,3.19,2.86,5.07,1.42,73,1.78,1.41,0.39,0.5,2.45,6.36,1.45,65
L12,2.45,3.22,2.98,4.92,1.27,71,1.72,1.31,0.51,0.57,2.75,5.94,1.39,60
L13,2.45,3.23,2.89,5.1,1.37,67,1.65,1.4,0.61,0.44,2.8,5.41,1.47,63
L14,2.44,3.38,2.93,4.92,1.28,63,1.51,1.44,0.52,0.31,2.9,5.11,1.53,61
Ca1,2.45,3.32,2.88,5.22,1.37,60,1.89,1.45,0.64,0.41,2.9,4.9,1.6,67
Ca2,2.38,3.32,2.97,4.67,1.53,61,1.68,1.39,0.55,0.33,3,4.65,1.61,65
Ca3,2.31,3.29,2.94,4.45,1.49,62,1.61,1.38,0.53,0.35,3.1,4.32,1.59,65
Ca4,2.21,3.28,2.94,4.36,1.6,64,1.38,1.29,0.4,0.34,2.95,3.44,1.65,63
Ca5,2.14,3.16,2.98,4.32,1.75,66,0.93,1.3,0.36,0.36,2.7,3.2,1.45,60
Ca6,2.06,3.07,2.95,3.83,1.74,70,0.84,1.14,0.34,0.48,2.3,2.43,1.23,63
Ca7,2.06,3.01,3.08,3.33,1.72,76,0.68,1.12,0.33,0.47,1.9,1.64,0.86,65
Ca8,2.01,3.02,2.98,2.69,1.57,78,0.59,0.99,0.21,0.34,1.6,1.09,1.04,68
Ca9,1.99,2.96,3.15,2.35,1.48,86,0.37,1.06,0.28,0.44,1.25,0.57,1.02,67
Ca10,1.98,2.88,3.2,1.98,1.48,93,0.34,1.04,0.28,0.42,0.75,0.29,0.82,85
Ca11,1.92,2.77,3.08,1.61,1.31,97,0.4,1.31,0.28,0.35,0.55,0,0,NA
Ca12,1.87,2.63,3.02,1.2,1.21,103,0.27,1.21,0.18,0.19,0.4,0,0,NA
Ca13,1.85,2.55,3.05,0.87,1.16,105,0.31,1.24,0.21,0.21,0.25,0,0,NA
Ca14,1.8,2.36,2.97,0.56,1.25,107,0.25,1.12,0.22,0.21,0.15,0,0,NA
Ca15,1.77,2.3,2.83,0.28,1.09,102,0.21,1.09,0,0,NA,0,0,NA
Ca16,1.62,2.17,2.69,0,0,NA,0.27,0.88,0,0,NA,0,0,NA
Ca17,1.54,2.14,2.52,0,0,NA,0,0,0,0,NA,0,0,NA
Ca18,1.26,2.2,2.38,0,0,NA,0,0,0,0,NA,0,0,NA
Ca19,1.07,2.23,2.15,0,0,NA,0,0,0,0,NA,0,0,NA
