Phocoena_phocoena_(NRM_855083),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,0.83,2.76,2.43,2.42,0.52,115,1.86,0.58,0,0,NA,1.25,0.7,80
T2,1.15,2.35,2.3,3.63,0.98,115,1.7,1.14,0,0,NA,1.6,1.05,76
T3,1.69,2.24,2.12,4.03,1.42,113,1.8,1.06,0.33,0.35,2.1,1.66,1.31,75
T4,1.98,2.27,2.09,3.96,1.67,112,1.98,1.07,0.54,0.53,2.4,1.72,1.52,80
T5,2.22,2.33,2.26,3.96,2,109,1.79,1.31,0.72,0.52,2.35,1.65,1.65,86
T6,2.33,2.4,2.32,NA,2.33,105,1.85,1.44,0.95,0.55,2.4,1.79,1.67,93
T7,2.35,2.5,2.44,4.11,2.32,104,1.65,1.49,0.96,0.49,2.3,1.79,1.75,97
T8,2.43,2.61,2.49,NA,2.28,106,1.56,1.47,1.28,0.61,2.3,2.03,1.86,102
T9,2.39,2.8,2.57,4.51,2.28,103,1.52,1.58,1.11,0.41,2.05,2.57,2.05,102
T10,2.51,2.9,2.65,4.8,2.15,107,1.43,1.51,1.78,0.63,2.05,2.24,1.88,102
T11,2.54,2.92,2.65,5.14,2.34,113,1.54,1.45,1.87,0.71,2,2.76,1.85,106
T12,2.51,2.95,2.73,5.62,2.27,118,1.45,1.51,2.24,0.76,2.5,3.86,1.98,103
T13,2.39,3.05,2.75,5.46,2.18,117,1.5,1.52,2.28,0.77,2.6,5.44,1.91,105
L1,2.33,3.09,2.76,5.97,2.17,112,1.74,1.55,1.9,0.72,2.7,7.3,1.98,100
L2,2.33,3.08,2.78,6.03,2.15,112,1.63,1.54,2.04,0.77,2.65,7.82,2.1,95
L3,2.4,3.15,2.84,6.14,2.13,110,1.74,1.56,1.93,0.76,2.75,7.95,2,90
L4,2.3,3.22,2.9,6.06,2.11,110,1.55,1.62,1.93,0.77,2.75,7.72,1.92,90
L5,2.4,3.26,2.86,5.76,1.98,105,1.55,1.55,1.71,0.66,2.55,7.39,1.89,88
L6,2.43,3.25,3,5.76,1.89,105,1.6,1.57,1.29,0.55,2.5,6.82,1.97,85
L7,2.41,3.36,3.04,5.73,1.83,103,1.61,1.62,1.58,0.66,2.6,6.76,1.96,80
L8,2.44,3.41,3.2,5.52,1.75,95,1.65,1.58,1.09,0.66,2.45,6.83,1.75,78
L9,2.53,3.55,3.22,5.52,1.7,85,1.6,1.58,1,0.6,2.6,6.49,1.98,75
L10,2.55,3.49,3.29,5.45,1.64,78,1.66,1.7,0.87,0.58,2.55,6.06,1.95,72
L11,2.42,3.55,3.3,5.54,1.63,75,1.78,1.52,0.87,0.66,2.7,5.87,1.85,68
L12,2.52,3.64,3.36,5.55,1.61,73,1.81,1.38,0.65,0.61,2.6,5.81,1.59,65
L13,2.47,3.58,3.48,5.62,1.62,68,1.79,1.39,0.69,0.75,2.6,5.6,1.68,62
L14,2.53,3.75,3.44,5.47,1.45,66,1.8,1.44,0.51,0.5,2.65,5.4,1.74,60
Ca1,2.5,3.67,3.44,5.41,1.64,58,1.87,1.46,0.75,0.58,3,5.12,1.66,60
Ca2,2.44,3.71,3.53,5.49,1.54,57,1.81,1.53,0.66,0.56,3.1,4.9,1.69,58
Ca3,2.36,3.69,3.41,5.4,1.66,54,1.51,1.48,0.83,0.69,3.1,4.57,1.75,58
Ca4,2.31,3.57,3.45,5.28,1.73,64,1.35,1.51,0.85,0.53,2.9,3.86,2.1,60
Ca5,2.29,3.53,3.4,4.65,1.78,67,1.19,1.51,0.59,0.55,2.7,3.21,2.05,66
Ca6,2.26,3.4,3.3,4.37,1.87,75,0.99,1.38,0.72,0.52,2.55,2.96,1.88,70
Ca7,2.19,3.32,3.37,3.6,1.82,79,0.85,1.28,0.61,0.54,2.1,2.35,1.88,71
Ca8,2.17,3.25,3.28,3,1.8,87,0.76,1.34,0.56,0.52,1.75,1.84,1.25,72
Ca9,2.15,3.16,3.43,2.47,1.66,94,0.53,1.25,0.31,0.45,1.35,1.21,1.15,70
Ca10,2.14,3.18,3.26,2.18,1.57,96,0.53,1.24,0.31,0.45,1.1,0.85,0.99,70
Ca11,2.14,2.98,3.2,1.7,1.29,97,0.44,1.38,0.5,0.43,0.8,0.51,0.84,73
Ca12,2.12,2.9,3.34,1.68,1.43,98,0.34,1.53,0.41,0.36,0.6,0.33,0.63,76
Ca13,2.04,2.8,3.18,1.36,1.5,101,0.28,1.53,0.43,0.37,0.35,0,0,NA
Ca14,2.03,2.74,3.03,1,1.48,100,0.35,1.46,0.41,0.29,0.25,0,0,NA
Ca15,1.95,2.58,2.96,0.8,1.52,102,0.31,1.4,0.35,0.26,0.25,0,0,NA
Ca16,1.89,2.49,2.98,0.47,1.27,102,0.25,1.29,0.24,0.27,0.2,0,0,NA
Ca17,1.71,2.35,2.81,0.2,0.83,100,0.28,1,0,0,NA,0,0,NA
Ca18,1.47,2.29,2.51,0,0,NA,0.16,0.78,0,0,NA,0,0,NA
Ca19,1.24,2.25,2.33,0,0,NA,0,0,0,0,NA,0,0,NA
Ca20,1.03,2.18,2.12,0,0,NA,0,0,0,0,NA,0,0,NA
