Phocoena_phocoena_(NRM_558322),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,0.79,2.67,2.15,1.64,0.65,93,2.15,0.58,0,0,NA,1.36,0.39,60
T2,1.04,2.23,1.77,2.58,0.85,112,2.15,0.77,0,0,NA,1.45,0.6,73
T3,1.43,2.13,1.88,2.93,1.07,106,2.15,1.06,0,0,NA,1.63,0.9,70
T4,1.66,2.05,2.03,2.77,1.31,105,2.1,1.29,0,0,NA,1.52,1.04,65
T5,1.79,2.03,2.14,2.81,1.55,105,2,1.52,0.38,0.47,1.85,1.55,1.23,67
T6,1.89,2.07,2.16,2.67,1.44,107,2,1.4,0.5,0.53,1.9,1.7,1.31,65
T7,1.88,2.11,2.28,2.77,1.42,104,1.9,1.47,0.55,0.65,1.85,1.68,1.22,66
T8,1.87,2.17,2.28,2.84,1.63,100,1.7,1.3,0.64,0.74,1.8,1.7,1.2,90
T9,1.89,2.16,2.25,3.17,1.58,102,1.7,1.12,0.89,0.51,1.75,1.93,1.25,104
T10,1.91,2.36,2.29,3.43,1.68,106,1.7,1.28,1.17,0.61,1.7,2.05,1.03,102
T11,1.99,2.46,2.31,3.53,1.62,105,1.5,1.06,1.22,0.59,1.4,2.72,0.99,107
T12,2.03,2.56,2.31,3.78,1.68,105,1.65,1.18,0.98,0.49,1.5,4.4,1.03,111
T13,1.95,2.53,2.29,4.16,1.65,103,1.55,1.25,0.8,0.45,1.6,5.13,1.14,108
L1,1.99,2.68,2.29,4.11,1.46,106,1.5,1.24,0.79,0.61,1.6,5.76,1.23,102
L2,1.95,2.72,2.3,4.22,1.44,108,1.35,1.13,0.67,0.59,1.6,5.65,1.1,100
L3,1.93,2.71,2.39,4.2,1.39,109,1.39,1.1,0.47,0.55,1.7,5.69,1.16,98
L4,1.96,2.72,2.41,4.29,1.38,106,1.51,1.07,0.53,0.37,1.65,5.57,1.14,94
L5,2.03,2.68,2.53,4.07,1.24,103,1.56,1.14,0.59,0.4,1.65,5.33,1.14,92
L6,1.9,2.8,2.64,4.08,1.31,99,1.47,1.2,0.49,0.39,1.6,5.25,1.08,85
L7,2,2.78,2.66,3.8,1.39,98,1.49,1.11,0.56,0.35,1.5,5.09,1.09,80
L8,1.99,2.79,2.68,NA,NA,96,1.4,1,0.41,0.48,1.9,5.1,1.08,75
L9,1.97,2.82,2.68,NA,1.33,96,1.42,0.94,NA,0.52,1.85,4.96,1.01,65
L10,2.03,2.82,2.7,3.48,1.3,90,1.5,0.94,0.58,0.58,1.8,4.85,0.97,60
L11,1.97,2.8,2.76,3.28,1.21,85,1.49,0.96,0.43,0.52,1.95,4.37,0.96,56
L12,2.01,2.81,2.81,3.09,1.17,76,1.45,0.95,0.52,0.52,1.9,4.22,1,50
L13,2,2.78,2.85,2.84,1.3,68,1.51,0.95,0.4,0.5,1.95,4.23,0.94,45
L14,1.99,2.79,2.94,2.64,1.28,64,1.41,0.96,0.29,0.61,1.9,4.05,0.94,42
Ca1,2.06,2.89,2.85,2.69,1.37,68,1.44,0.98,0.26,0.47,1.75,3.99,1.01,45
Ca2,2.01,2.91,2.85,2.68,1.48,72,1.47,1.06,0.3,0.47,1.65,3.8,1.1,48
Ca3,2.03,2.88,2.96,2.56,1.47,72,1.31,1.11,0.32,0.56,1.45,3.46,1.06,47
Ca4,2.03,2.89,3.09,2.48,1.44,80,1.18,1.13,0.22,0.45,1.55,3.13,1.34,56
Ca5,2.07,2.87,3.06,2.12,1.43,86,1.14,0.98,0.27,0.35,1.55,2.69,1.17,63
Ca6,2.03,2.85,3.06,1.8,1.35,88,1.07,0.88,0.23,0.25,1.45,2.3,1.17,72
Ca7,1.97,2.9,3.13,1.5,1.19,89,0.93,0.75,0.16,0.23,1.1,1.91,0.96,70
Ca8,1.86,2.8,3.34,1.17,1.07,90,0.78,0.77,0.17,0.24,0.9,1.4,0.78,65
Ca9,1.83,2.88,3.09,1.01,1.1,90,0.7,0.9,0.2,0.29,0.85,0.88,0.7,66
Ca10,1.75,2.8,2.98,0.84,1.03,90,0.58,0.91,0.2,0.3,0.65,0.6,0.67,73
Ca11,1.69,2.7,3,0.78,1.02,94,0.47,0.95,0.18,0.23,0.55,0.47,0.55,80
Ca12,1.68,2.57,3.04,0.51,1.06,98,0.46,1.06,0.22,0.19,0.5,0,0,NA
Ca13,1.59,2.51,3.12,0.43,1.02,99,0.42,0.96,0.19,0.15,0.4,0,0,NA
Ca14,1.6,2.48,2.98,0.37,0.85,93,0.42,1.03,0.23,0.16,0.3,0,0,NA
Ca15,1.56,2.3,2.87,0,0,NA,0.41,0.81,0,0,NA,0,0,NA
Ca16,1.49,2.15,2.67,0,0,NA,0,0,0,0,NA,0,0,NA
Ca17,1.44,2.14,2.55,0,0,NA,0,0,0,0,NA,0,0,NA
Ca18,1.28,2.07,2.42,0,0,NA,0,0,0,0,NA,0,0,NA
Ca19,1.14,2.07,2.11,0,0,NA,0,0,0,0,NA,0,0,NA
