Stenella_clymene_(USNM_550501),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,0.63,3.19,2.47,1.94,0.54,118,2.17,0.61,0,0,NA,2.09,0.69,64
T2,1.2,2.83,2.26,3.08,0.58,122,1.99,1,0,0,NA,2.05,0.74,78
T3,1.59,2.66,2.2,3.79,0.72,121,2.14,1.04,0,0,NA,2.35,0.91,81
T4,2,2.44,2.11,4.06,0.77,123,2.18,0.89,0.54,0.38,2.2,2.54,1.06,89
T5,2.33,2.33,2.09,4.16,0.85,129,2.34,0.93,0.71,0.51,2.45,2.8,1.29,93
T6,2.47,2.29,2.14,4.07,1.07,122,2.48,0.96,1.02,0.44,2.9,2.97,1.36,92
T7,2.62,2.28,2.2,4.73,1.16,120,2.35,1.02,1.16,0.52,2.7,3.11,1.34,91
T8,2.74,2.32,2.26,5.05,1.13,120,2.36,1.34,1.24,0.58,3,3.54,1.53,90
T9,2.8,2.42,2.28,5.66,1.17,115,2.45,1.52,1.57,0.78,3.25,4.18,1.5,87
T10,2.82,2.54,2.29,5.76,1.46,114,2.49,1.31,1.54,0.76,3.4,4.66,1.52,84
T11,2.86,2.63,2.35,6.1,1.35,113,2.37,1.45,1.43,0.64,3.5,5.14,1.5,87
T12,2.76,2.64,2.4,6.26,1.31,110,2.4,1.47,1.34,0.62,3.65,5.75,1.54,88
T13,2.66,2.73,2.44,6.1,1.31,112,2.44,1.44,1.32,0.55,3.55,6.67,1.5,92
T14,2.57,2.71,2.45,6.78,1.32,110,2.48,1.36,1.54,0.38,3.5,7.99,1.23,95
T15,2.52,2.62,2.55,6.95,1.05,106,2.46,1.29,1.28,0.42,3.6,8.64,1.19,97
L1,2.44,2.67,2.57,7.6,0.99,105,2.51,1.29,1.33,0.47,3.75,8.9,0.99,97
L2,2.3,2.7,2.54,7.7,0.97,100,2.46,1.21,0.83,0.38,3.8,8.43,0.98,94
L3,2.26,2.72,2.54,7.76,0.87,98,2.56,1.14,0.99,0.63,3.8,8.17,1.01,90
L4,2.18,2.7,2.58,7.8,0.89,96,2.39,1.16,1.11,0.46,4,7.93,1.06,88
L5,2.09,2.78,2.6,7.76,0.89,92,2.6,1.12,0.77,0.41,3.7,8.03,1.12,86
L6,2.05,2.79,2.65,7.82,0.89,88,2.55,1.11,0.29,0.32,3.55,7.87,0.93,83
L7,1.97,2.78,2.64,7.77,0.78,86,2.62,0.97,0.43,0.44,3.5,7.79,0.83,82
L8,1.95,2.76,2.7,7.88,0.82,85,2.45,1.03,0.33,0.35,3.6,7.6,0.8,80
L9,1.87,2.87,2.76,7.71,0.74,83,2.27,0.96,0,0,NA,7.29,0.93,80
L10,1.88,2.82,2.75,7.81,0.82,78,2.35,1.02,0,0,NA,7.31,0.81,79
L11,1.89,2.91,2.76,7.86,0.73,77,2.26,0.96,0,0,NA,7.02,0.92,80
L12,1.82,2.94,2.82,7.69,0.75,74,2.31,0.89,0,0,NA,6.65,0.82,80
L13,1.8,2.89,2.87,7.45,0.71,72,2.43,0.88,0,0,NA,6.71,0.75,79
L14,1.81,2.96,2.95,7.45,0.73,71,2.22,0.87,0,0,NA,6.7,0.74,80
L15,1.78,2.97,2.95,7.36,0.78,71,2.15,0.89,0,0,NA,6.37,0.75,82
L16,1.8,2.97,2.98,7.11,0.79,69,2.15,0.9,0,0,NA,6.05,0.71,78
L17,1.86,3.02,3,7.19,0.74,70,2.07,0.87,0,0,NA,5.86,0.84,80
Ca1,1.84,3.08,3.12,6.95,1.12,78,2.18,0.87,0,0,NA,5.62,0.86,78
Ca2,1.87,3.08,3.04,6.85,1.01,78,2.06,0.94,0.4,0.32,4.7,5.35,0.77,76
Ca3,1.93,3.1,3.06,6.82,10.8,79,1.98,0.91,0.62,0.45,4.85,5.43,0.75,77
Ca4,1.97,3.17,3.01,6.74,1.1,68,1.83,0.95,0.65,0.47,4.8,5.17,0.77,73
Ca5,2.01,3.16,2.99,6.2,1.11,68,1.81,0.94,0.71,0.51,4.8,5.03,0.75,70
Ca6,1.99,3.24,3,6.24,1.17,64,1.69,1.06,0.96,0.5,4.7,4.74,0.71,72
Ca7,2.03,3.22,3.1,5.81,1.29,64,1.77,1.16,1.01,0.46,4.95,4.49,0.81,69
Ca8,2.1,3.23,2.99,5.67,1.31,65,1.66,1.18,0.96,0.51,4.7,4.42,0.78,69
Ca9,2.18,3.29,3.02,5.52,1.38,68,1.32,1.22,0.84,0.49,4.25,4.13,0.93,66
Ca10,2.15,3.26,2.92,5.58,1.38,71,1.44,1.19,0.91,0.53,4.3,3.95,0.92,66
Ca11,2.27,3.28,3.06,5.27,1.29,73,1.19,1.22,0.75,0.55,3.95,3.89,1.11,65
Ca12,2.27,3.34,3.12,5.17,1.37,70,1.13,1.26,0.83,0.59,3.9,3.65,1.09,62
Ca13,2.35,3.34,3.21,4.92,1.37,71,1,1.29,0.73,0.68,3.45,3.1,1.04,62
Ca14,2.43,3.31,3.24,4.68,1.29,73,0.84,1.39,0.76,0.83,3.2,2.37,1.28,58
Ca15,2.49,3.25,3.27,4.44,1.48,77,0.94,1.41,0.81,0.71,2.85,2.09,0.89,57
Ca16,2.55,3.41,3.31,3.86,1.54,80,0.86,1.49,0.88,0.56,2.4,1.23,1.07,57
Ca17,2.62,3.27,3.29,3.35,1.68,84,0.84,1.7,0.74,0.73,1.9,0.53,0.79,65
Ca18,2.73,3.04,3.31,2.77,1.93,104,0.58,1.78,0.89,0.88,1.65,0.39,0.6,74
Ca19,2.72,2.84,3.46,2.2,1.84,110,0.51,2.01,0.75,0.79,1.2,0,0,NA
Ca20,2.75,2.61,3.65,1.74,1.9,110,0.31,2.07,0.67,0.67,1.05,0,0,NA
Ca21,2.64,2.46,3.45,1.08,1.88,107,0.31,1.93,0.46,0.44,0.65,0,0,NA
Ca22,2.47,2.41,3.31,0.54,1.69,103,0.26,1.83,0.33,0.31,0.35,0,0,NA
Ca23,2.08,2.46,2.85,0,0,NA,0.23,0.98,0,0,NA,0,0,NA
Ca24,1.45,2.62,2.52,0,0,NA,0,0,0,0,NA,0,0,NA
