Phocoena_phocoena_(NRM_835011),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,0.87,2.59,2.25,2.14,0.65,112,1.81,1.15,0,0,NA,1.43,0.79,84
T2,1.17,2.45,2.18,2.99,1.22,113,1.85,1.35,0,0,NA,1.52,0.92,90
T3,1.74,2.24,2,3.26,1.29,112,1.97,1.6,0,0,NA,1.62,1.2,95
T4,1.88,2.22,2.14,3,1.51,110,1.82,1.71,0,0,NA,1.42,1.25,95
T5,2.02,2.26,2.17,3.33,1.81,111,1.83,1.7,0.61,0.49,2.5,1.46,1.55,95
T6,2.07,2.34,2.16,3.37,1.99,109,1.81,1.7,0.82,0.52,2.4,1.86,1.42,100
T7,2.14,2.32,2.23,4.04,1.97,106,1.74,1.45,0.86,0.52,2.4,1.71,1.5,102
T8,2.18,2.38,2.28,4.22,1.85,110,1.67,1.35,0.99,0.74,2.2,1.86,1.68,105
T9,2.22,2.55,2.39,4.1,1.78,113,1.61,1.28,1.69,0.72,2.3,1.9,1.85,107
T10,2.24,2.72,2.35,4.33,1.82,105,1.66,1.34,1.68,0.58,2.25,2.45,1.68,110
T11,2.27,2.85,2.41,4.64,1.91,103,1.73,1.29,1.83,0.71,2.3,2.8,2.04,108
T12,2.19,2.94,2.43,4.81,1.79,111,1.73,1.17,1.77,0.61,2.6,4.05,2,107
T13,2.14,2.84,2.53,4.83,1.74,109,1.74,1.31,2.01,0.62,2.3,6.31,1.51,105
L1,2.15,3,2.52,5.32,1.72,107,1.78,1.43,1.49,0.53,2.8,6.16,1.67,97
L2,2.02,3.03,2.62,5.05,1.65,105,1.72,1.43,1.11,0.66,2.5,6.04,1.61,95
L3,2.19,2.98,2.74,5.18,1.63,105,1.48,1.26,1.13,0.68,2.35,6.16,1.7,92
L4,2.06,3.13,2.86,5.2,1.58,102,1.59,1.39,1.12,0.67,2.3,6.14,1.58,85
L5,2.12,3.14,2.84,5.14,1.52,97,1.58,1.4,1.19,0.77,2.25,5.99,1.69,82
L6,2.11,3.08,2.82,5.15,1.69,93,1.66,1.3,0.85,0.68,2.15,6.2,1.64,78
L7,2.21,3.22,2.97,4.8,1.51,85,1.6,1.23,1.02,0.71,2.2,6.14,1.62,75
L8,2.19,3.35,3.02,4.91,1.59,75,1.57,1.26,0.9,0.73,2.25,6.12,1.67,73
L9,2.2,3.29,3.11,4.84,1.59,65,1.42,1.26,0.78,0.69,2.15,5.88,1.67,65
L10,2.19,3.31,3.1,5,1.47,64,1.59,1.18,0.51,0.73,2.2,5.41,1.51,64
L11,2.25,3.41,3.07,5.28,1.53,65,1.65,1.19,0.55,0.64,2.3,5.44,1.5,65
L12,2.23,3.4,3.14,5.35,1.47,58,1.66,1.2,0.47,0.63,2.35,5.14,1.42,60
L13,2.23,3.45,3.1,5.56,1.34,57,1.58,1.16,0.51,0.71,2.4,5.08,1.46,63
L14,2.25,3.32,3.22,5.54,1.19,55,1.47,1.29,0.37,0.56,2.65,4.79,1.37,62
Ca1,2.24,3.41,3.38,5.52,1.49,55,1.43,1.35,0.34,0.63,2.7,4.57,1.52,60
Ca2,2.25,3.41,3.4,5.38,1.5,48,1.31,1.33,0.36,0.65,2.5,4.32,1.5,59
Ca3,2.2,3.37,3.42,5.21,1.56,48,1.14,1.4,0.48,0.67,2.4,4.14,1.73,59
Ca4,2.2,3.41,3.45,5.19,1.73,45,0.97,1.48,0.51,0.41,2.15,3.53,1.8,62
Ca5,2.14,3.38,3.37,4.97,1.69,50,0.84,1.36,0.41,0.52,2,3.24,1.91,64
Ca6,2.1,3.39,3.35,4.7,1.59,58,0.86,1.35,0.35,0.32,1.9,2.68,1.54,66
Ca7,2.03,3.29,3.45,4.21,1.68,63,0.79,1.3,0.4,0.42,1.75,2.35,1.5,69
Ca8,1.98,3.3,3.5,3.53,1.65,67,0.47,1.21,0.51,0.49,1.35,1.67,1.24,70
Ca9,1.92,3.3,3.41,2.89,1.48,70,0.41,1.15,0.4,0.33,1,1.11,1.27,74
Ca10,1.87,3.21,3.48,2.29,1.41,77,0.33,1.2,0.56,0.36,0.65,0.52,1,73
Ca11,1.84,3.12,3.22,1.74,1.29,80,0.35,1.29,0.52,0.48,0.5,0.36,0.73,70
Ca12,1.75,2.91,3.27,0.98,1.16,89,0.3,1.33,0.35,0.47,0.3,0.21,0.69,73
Ca13,1.77,2.76,3.25,0.97,1.05,86,0.33,1.12,0.41,0.44,0.25,0,0,NA
Ca14,1.73,2.69,3.25,0.6,1.13,92,0.29,1.14,0.44,0.21,0.2,0,0,NA
Ca15,1.68,2.57,3.15,0.43,1.05,92,0.32,1.08,0.37,0.26,0.1,0,0,NA
Ca16,1.6,2.47,3.03,0.28,0.93,91,0.23,0.88,0.36,0.29,0.1,0,0,NA
Ca17,1.51,2.38,2.8,0,0,NA,0.17,0.85,0,0,NA,0,0,NA
Ca18,1.36,2.35,2.64,0,0,NA,0,0,0,0,NA,0,0,NA
Ca19,1.18,2.38,2.39,0,0,NA,0,0,0,0,NA,0,0,NA
