Phocoena_phocoena_(NRM_895156),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.33,2.4,2.42,3.37,1.03,94,2.46,1.09,0,0,NA,1.8,0.97,73
T2,1.78,2.37,2.32,4.44,1.67,97,2.49,1.52,0.32,0.48,1.8,2.05,1.06,74
T3,2.12,2.24,2.27,4.76,1.76,103,2.16,1.15,0.6,0.61,2.35,2.04,1.45,88
T4,2.36,2.31,2.32,4.58,2.14,107,2.35,1.3,1.09,0.62,2.45,1.82,1.5,95
T5,2.43,2.3,2.43,4.77,2.49,109,2.3,1.33,1.11,0.61,2.3,1.74,1.6,94
T6,2.5,2.38,2.43,4.85,2.38,110,2.06,1.37,1.23,0.53,2.2,1.97,1.59,92
T7,2.58,2.55,2.51,4.79,2.4,109,1.96,1.3,1.11,0.59,2.3,2.09,1.71,98
T8,2.67,2.53,2.59,5.02,2.49,108,1.83,1.5,1.09,0.68,2.35,2.13,1.77,103
T9,2.62,2.66,2.68,5.07,2.67,104,1.85,1.41,1.38,0.7,2.35,2.32,1.99,100
T10,2.7,2.87,2.69,5.46,2.69,105,1.9,1.68,0.88,0.75,2.55,2.67,2.07,94
T11,2.67,3.05,2.75,5.8,2.44,106,1.86,1.44,1.78,0.95,2.6,3.28,2.14,90
T12,2.64,2.99,2.63,5.93,2.48,103,2.1,1.5,1.82,0.92,3.1,4.62,2.12,93
T13,2.69,3.08,2.73,6.55,2.39,102,2.06,1.61,1.72,0.87,3.2,7.34,1.97,96
L1,2.68,3.05,2.81,6.44,2.37,103,2.02,1.68,1.63,0.86,3.25,8.1,1.91,94
L2,2.61,3.22,2.84,6.45,2.35,108,2.08,1.57,1.43,0.74,3.05,8.24,1.8,87
L3,2.68,3.18,2.9,6.49,2.31,107,1.98,1.61,1.26,0.68,3,8.25,1.82,83
L4,2.68,3.24,3.04,6.41,2.16,103,1.88,1.65,1.02,0.97,2.7,8.17,1.61,77
L5,2.62,3.18,3.14,6.39,2.13,94,1.96,1.55,1.06,0.78,2.6,7.92,1.75,73
L6,2.67,3.25,3.11,6.63,2.19,88,1.96,1.49,0.96,0.75,2.6,7.85,1.87,71
L7,2.66,3.39,3.15,6.32,1.91,83,1.98,1.5,1.04,0.74,2.75,7.97,1.75,72
L8,2.77,3.4,3.18,6.39,2.02,77,2.01,1.55,0.74,0.71,2.45,7.68,1.77,69
L9,2.78,3.41,3.23,6.48,1.95,73,1.94,1.52,0.85,0.78,2.6,7.34,1.75,66
L10,2.69,3.38,3.16,6.42,1.82,65,1.99,1.56,0.74,0.71,2.45,6.85,1.54,63
L11,2.7,3.55,3.33,6.29,1.78,65,1.9,1.61,0.64,0.65,2.5,6.79,1.48,60
L12,2.7,3.52,3.31,6.23,1.59,63,2.08,1.59,0.68,0.64,2.65,6.15,1.41,57
L13,2.7,3.51,3.28,6.52,1.7,64,1.92,1.57,0.8,0.49,3.1,5.95,1.37,57
Ca1,2.68,3.58,3.53,6.18,1.68,63,1.8,1.54,0.64,0.47,3.15,5.54,1.48,56
Ca2,2.65,3.58,3.45,6.23,1.88,61,1.65,1.53,0.52,0.42,3.2,5.17,1.62,56
Ca3,2.6,3.51,3.47,5.98,2.05,64,1.54,1.5,0.56,0.37,3.35,4.73,1.75,55
Ca4,2.54,3.07,3.44,5.66,1.95,67,1.24,1.58,0.49,0.33,3.1,4.25,2.06,58
Ca5,2.52,3.49,3.44,5.19,2.03,68,1.06,1.46,0.37,0.44,2.9,4,1.82,62
Ca6,2.48,3.46,3.41,4.61,2,68,1.03,1.37,0.41,0.36,2.4,3.42,1.79,63
Ca7,2.36,3.31,3.35,3.85,2.2,73,0.85,1.36,0.39,0.36,1.9,3.11,1.43,65
Ca8,2.41,3.42,3.52,3.36,2.13,80,0.76,1.3,0.25,0.43,1.75,2.27,1.39,67
Ca9,2.35,3.44,3.43,2.86,2.17,83,0.7,1.35,0,0,NA,1.48,1.28,72
Ca10,2.3,3.33,3.43,2.53,1.92,85,0.57,1.29,0.21,0.32,1.05,0.94,1.34,73
Ca11,2.23,3.22,3.36,2.1,1.76,90,0.48,1.47,0.31,0.33,0.6,0.48,1.08,68
Ca12,2.25,3.08,3.43,1.81,1.58,93,0.37,1.3,0.44,0.33,0.4,0.38,0.9,70
Ca13,2.23,2.96,3.42,1.22,1.54,95,0.33,1.31,0.29,0.29,0.25,0,0,NA
Ca14,2.2,2.84,3.28,0.85,1.63,97,0.33,1.22,0.38,0.35,0.1,0,0,NA
Ca15,2.08,2.71,3.19,0.59,1.35,94,0.32,1.12,0.29,0.37,0.1,0,0,NA
Ca16,1.98,2.61,3.08,0.23,0.91,83,0.29,0.94,0,0,NA,0,0,NA
Ca17,1.81,2.62,2.87,0,0,NA,0.26,0.9,0,0,NA,0,0,NA
Ca18,1.59,2.62,2.67,0,0,NA,0,0,0,0,NA,0,0,NA
Ca19,1.33,2.6,2.56,0,0,NA,0,0,0,0,NA,0,0,NA
Ca20,1.13,2.25,2.57,0,0,NA,0,0,0,0,NA,0,0,NA
