Lagenorhynchus_australis_(USNM_395347),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,1.27,3.54,3.17,3.09,0.57,110,2.75,1.03,0,0,NA,2.35,0.89,74
T2,1.71,3.41,3.14,4.29,0.98,118,2.9,1.68,0,0,NA,2.87,1.23,77
T3,2.12,3.21,3.16,5.16,1.04,121,2.9,1.53,0.27,0.42,3.9,3.08,1.63,86
T4,2.47,3.14,3.03,5.76,1.15,122,2.65,1.31,0.45,0.54,4.4,3.33,1.82,91
T5,2.69,3.01,3.13,5.85,1.39,124,2.75,1.42,0.57,0.57,4.3,3.36,1.9,98
T6,2.87,3.06,3.11,6.3,1.85,121,2.4,1.5,0.6,0.64,3.7,3.57,1.91,104
T7,2.89,3.2,3.13,6.55,1.99,120,2.45,1.35,1,0.89,3.15,3.72,1.9,110
T8,3.02,3.1,3.27,6.9,1.97,119,3.11,1.73,1.35,1.14,3.2,3.45,1.76,105
T9,3.08,3.61,3.28,7.61,2.19,117,3.1,1.46,1.49,1.34,3.35,4.65,1.9,103
T10,3.06,3.73,3.31,7.91,2.05,115,3.1,1.69,1.76,1.45,3.35,5.12,2.01,104
T11,3.04,3.85,3.41,NA,NA,NA,3.2,1.91,1.62,1.47,3.7,5.83,2.48,108
T12,2.91,3.92,3.51,8.48,1.97,106,3.15,1.75,1.91,1.37,3.9,7.37,2.38,112
T13,2.89,3.89,3.47,9.05,2.04,103,3.15,1.59,1.77,1.25,4,9.42,2.01,114
L1,2.86,4.02,3.57,9.44,2.15,104,3.25,1.51,1.58,1.31,3.95,9.9,2.01,106
L2,2.89,4.07,3.65,9.11,2.04,103,3.5,1.64,1.39,1.34,4.2,10,1.9,102
L3,2.8,4.12,3.65,9.23,1.79,98,3.45,1.61,1.12,1.17,4.2,9.64,1.95,101
L4,2.75,4.08,3.89,9.25,1.69,101,3.28,1.53,1.1,1.13,4.05,9.32,1.94,100
L5,2.82,4.18,3.94,9.69,1.72,98,2.88,1.58,1.21,0.86,4.15,9.2,1.82,97
L6,2.73,4.16,4.08,NA,NA,NA,3.11,1.48,0.91,1.05,3.8,9.11,1.99,95
L7,2.75,4.22,4.17,9.56,1.9,87,2.64,1.62,0.47,1.26,3.55,9.1,2.02,96
L8,2.75,4.3,4.33,9.87,1.67,84,2.84,1.47,0.5,1.21,3.45,8.71,1.84,95
L9,2.61,4.2,4.26,9.97,1.56,81,2.79,1.62,0.32,1.07,3.6,8.44,1.86,98
L10,2.63,4.46,4.29,9.28,1.69,79,3.26,1.46,0.23,0.87,4,8.19,1.88,103
L11,2.59,4.4,4.36,9.35,1.69,78,3.07,1.4,0,0,NA,7.77,1.86,102
L12,2.39,4.44,4.17,8.64,1.55,76,3.24,1.27,0,0,NA,7.32,1.73,101
L13,2.48,4.35,4.5,8.07,1.62,79,3.63,1.36,0,0,NA,6.88,1.57,100
L14,2.51,4.42,4.45,8.24,1.4,77,3.41,1.21,0,0,NA,6.6,1.5,98
Ca1,2.37,4.38,4.52,7.85,1.41,74,3.22,1.16,0.29,0.6,5.2,6.29,1.56,97
Ca2,2.33,4.37,4.63,7.62,1.39,73,3.04,1.24,0.49,0.6,4.95,6.11,1.46,90
Ca3,2.35,4.4,4.5,7.25,1.49,69,2.76,1.23,0.55,0.9,5.05,5.91,1.46,87
Ca4,2.35,4.51,4.48,6.95,1.57,70,2.8,1.34,0.75,0.79,5.1,6.03,1.61,82
Ca5,2.34,4.57,4.43,6.66,1.72,68,2.78,1.28,0.72,0.89,5.15,5.88,1.67,77
Ca6,2.39,4.61,4.4,6.23,1.69,65,2.8,1.26,0.95,0.95,5.1,5.65,1.73,78
Ca7,2.4,4.49,4.61,5.98,1.78,65,2.64,1.36,1.05,0.81,5,5.34,1.76,78
Ca8,2.38,4.64,4.42,5.9,1.87,66,2.34,1.36,1.07,0.83,5.1,4.55,1.91,80
Ca9,2.4,4.66,4.53,5.2,1.95,70,1.96,1.46,1.07,0.97,4.4,4.4,1.99,76
Ca10,2.54,4.68,4.51,4.82,1.8,73,1.75,1.55,1.08,0.89,3.95,3.79,2.22,75
Ca11,2.58,4.74,4.77,4.15,1.81,70,1.43,1.51,1.04,0.8,3.5,3.23,1.99,74
Ca12,2.58,4.76,4.65,3.7,1.75,79,1.07,1.57,1.12,1.07,2.9,2.35,1.74,71
Ca13,2.68,4.64,4.65,3.34,1.82,90,0.95,1.63,0.91,1.07,2.3,1.52,1.62,73
Ca14,2.96,4.49,4.6,2.63,1.96,110,0.86,1.74,0.85,0.81,1.9,0.58,1.06,74
Ca15,2.88,4.19,4.62,2.09,2.2,115,0.74,1.88,0.84,0.63,1.3,0,0,NA
Ca16,2.99,3.99,4.71,1.61,2.26,121,0.52,2.03,0.82,0.56,0.95,0,0,NA
Ca17,3.07,3.93,4.85,1.09,2.02,120,0.39,2.18,0.76,0.51,0.65,0,0,NA
Ca18,3.03,3.51,4.63,0.66,2.03,118,0.36,2.2,0.46,0.37,0.45,0,0,NA
Ca19,3.08,3.28,4.35,0,0,NA,0.41,1.51,0,0,NA,0,0,NA
Ca20,2.76,3.18,4.02,0,0,NA,0,0,0,0,NA,0,0,NA
Ca21,2.29,3.16,3.45,0,0,NA,0,0,0,0,NA,0,0,NA
