Phocoena_phocoena_(NRM_865044),Centrum_length,Centrum_width,Centrum_height,Neural_spine_height,Neural_spine_width,Neural_spine_inclination,Neural_arch_height,Neural_arch_width,Metapophyses_length,Metapophyses_width,Metapophyses_height,Transverse_process_length,Transverse_process_width,Transverse_process_inclination
T1,0.92,2.6,2.28,2.19,0.66,120,1.88,0.72,0,0,NA,1.38,0.59,67
T2,1.27,2.36,2.17,3.15,0.95,124,1.67,1.12,0,0,NA,1.7,0.74,72
T3,1.72,2.18,2.11,3.52,1.37,116,1.58,1.6,0.51,0.5,2.4,2.08,1.1,90
T4,2.06,2.15,2.17,3.49,2.11,112,1.7,1.43,0.95,0.38,2.1,1.81,1.26,95
T5,2.26,2.16,2.2,3.54,1.91,116,1.77,1.74,1.05,0.53,2.3,1.85,1.61,100
T6,2.41,2.17,2.23,3.49,2.07,116,1.61,1.71,1.03,0.52,2.2,1.86,1.76,96
T7,2.35,2.23,2.28,3.74,2.02,110,1.61,1.69,1.39,0.54,2.25,1.91,1.76,96
T8,2.36,2.34,2.43,3.63,1.92,105,1.57,1.62,0.88,0.5,2,2.27,1.69,94
T9,2.45,2.48,2.49,4.09,2.04,107,1.56,1.37,1.29,0.81,2.15,2.39,2.17,97
T10,2.54,2.55,2.51,4.42,2.19,105,1.53,1.66,1.57,0.58,2.1,2.87,1.97,98
T11,2.56,2.64,2.45,4.58,2.2,100,1.59,1.39,1.74,0.5,2,3.3,2.02,95
T12,2.47,2.78,2.42,4.86,1.95,105,1.62,1.35,2.41,0.66,2.4,4.74,2.21,100
T13,2.48,2.74,2.49,4.84,2.08,111,1.78,1.38,2.01,0.69,2.45,6.95,1.64,103
L1,2.5,2.91,2.47,5.15,2.13,115,1.97,1.51,1.43,0.65,2.6,7.6,1.71,101
L2,2.48,2.95,2.5,5.22,2.11,115,1.8,1.49,1.49,0.74,2.4,7.75,1.74,98
L3,2.45,2.95,2.51,5.02,2.05,111,1.63,1.53,1.27,0.67,2.3,7.5,1.66,90
L4,2.52,3.03,2.59,4.95,1.81,104,1.61,1.52,1.41,0.68,2.3,7.19,1.66,85
L5,2.43,3.04,2.7,5.02,1.74,85,1.61,1.47,1.2,0.76,2.15,7.17,1.78,81
L6,2.42,3.04,2.79,5.37,1.69,81,1.59,1.43,1.03,0.62,2.1,7.16,1.69,78
L7,2.42,3.14,2.75,5.27,1.81,75,1.63,1.45,0.98,0.83,2.15,7.36,1.76,74
L8,2.53,3.19,2.88,5.39,1.83,60,1.66,1.46,0.91,0.64,2.1,7.37,1.72,72
L9,2.59,3.25,2.92,5.58,2,56,1.69,1.49,0.99,0.74,2.2,7.07,1.67,69
L10,2.54,3.32,2.97,5.51,1.76,51,1.62,1.48,0.93,0.67,2.25,6.95,1.52,60
L11,2.48,3.36,2.95,5.52,1.59,52,1.65,1.43,0.66,0.64,2.25,6.65,1.61,59
L12,2.45,3.63,3.08,5.76,1.65,49,1.66,1.57,0.69,0.54,2.2,6.39,1.68,56
L13,2.48,3.42,3.1,5.8,1.48,50,1.66,1.52,0.59,0.51,2.35,6.06,1.58,55
L14,2.52,3.35,3.08,6.35,1.19,47,1.55,1.45,0.4,0.46,2.4,5.5,1.65,53
Ca1,2.48,3.44,3.13,6.14,1.23,48,1.62,1.53,0.64,0.52,2.65,4.8,1.73,50
Ca2,2.47,3.47,3.25,6.21,1.18,44,1.47,1.48,0.53,0.4,2.5,4.41,1.83,53
Ca3,2.4,3.39,3.32,5.74,1.28,43,1.4,1.49,0.71,0.36,2.6,3.99,1.87,61
Ca4,2.25,3.26,3.34,5.15,1.45,45,1.08,1.4,0.34,0.41,2.45,3.13,1.87,68
Ca5,2.26,3.28,3.23,4.61,1.73,60,0.91,1.34,0.46,0.49,2.3,2.71,1.63,75
Ca6,2.24,3.2,3.26,4.12,1.86,70,0.76,1.23,0.49,0.42,2,2.47,1.45,75
Ca7,2.08,3.11,3.36,2.45,1.8,78,0.68,1.22,0.46,0.45,1.35,1.94,1.29,74
Ca8,2.05,3.1,3.27,1.5,1.83,81,0.63,1.25,0.23,0.27,1.05,1.51,1.11,70
Ca9,2.02,3.09,3.21,1.52,1.76,86,0.5,1.22,0.24,0.33,0.8,0.9,1.07,72
Ca10,1.97,2.95,3.26,1.46,1.48,95,0.58,1.18,0.29,0.36,0.7,0.55,0.85,73
Ca11,1.97,2.92,3.12,1.57,1.65,97,0.44,1.26,0.26,0.31,0.5,0.38,0.71,75
Ca12,1.92,2.7,3.07,1.43,1.6,102,0.43,1.33,0.29,0.31,0.4,0.24,0.48,74
Ca13,1.95,2.58,3.21,0.88,1.58,105,0.45,1.35,0.18,0.25,0.3,0,0,NA
Ca14,1.88,2.46,3.02,0.73,1.6,104,0.31,1.31,0.27,0.21,0.2,0,0,NA
Ca15,1.83,2.36,2.84,0.4,1.48,104,0.28,1.22,0.26,0.25,0.15,0,0,NA
Ca16,1.73,2.2,2.72,0.26,1.23,96,0.23,1.14,0.3,0.19,0.15,0,0,NA
Ca17,1.56,2.18,2.57,0,0,NA,0.22,0.69,0,0,NA,0,0,NA
Ca18,1.31,2.17,2.36,0,0,NA,0,0,0,0,NA,0,0,NA
